program counter, branch history, branch outcome
00000067, "0000010000010010", 1
0000005C, "1000001000001001", 0
0000005E, "0100000100000100", 0
00000067, "0010000010000010", 0
0000005C, "0001000001000001", 1
0000007A, "1000100000100000", 1
00000086, "1100010000010000", 0
00000086, "0110001000001000", 1
00000096, "1011000100000100", 0
00000096, "0101100010000010", 0
00000096, "0010110001000001", 0
00000096, "0001011000100000", 0
00000096, "0000101100010000", 0
00000096, "0000010110001000", 0
00000096, "0000001011000100", 0
00000096, "0000000101100010", 0
00000096, "0000000010110001", 0
00000096, "0000000001011000", 0
00000096, "0000000000101100", 0
00000096, "0000000000010110", 0
00000096, "0000000000001011", 1
00000041, "1000000000000101", 0
00000041, "0100000000000010", 0
00000041, "0010000000000001", 0
00000041, "0001000000000000", 0
00000041, "0000100000000000", 1
00000041, "1000010000000000", 1
0000005C, "1100001000000000", 0
0000005E, "0110000100000000", 0
00000067, "0011000010000000", 1
0000005C, "1001100001000000", 0
0000005E, "0100110000100000", 1
0000007A, "1010011000010000", 0
0000007A, "0101001100001000", 1
00000086, "1010100110000100", 1
00000096, "1101010011000010", 0
00000096, "0110101001100001", 0
00000096, "0011010100110000", 1
00000041, "1001101010011000", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 0
0000005C, "0001100110101001", 0
0000005E, "0000110011010100", 0
00000067, "0000011001101010", 0
0000005C, "0000001100110101", 1
0000007A, "1000000110011010", 1
00000086, "1100000011001101", 0
00000086, "0110000001100110", 1
00000096, "1011000000110011", 0
00000096, "0101100000011001", 0
00000096, "0010110000001100", 0
00000096, "0001011000000110", 1
00000041, "1000101100000011", 0
00000041, "0100010110000001", 0
00000041, "0010001011000000", 1
00000041, "1001000101100000", 1
0000005C, "1100100010110000", 0
0000005E, "0110010001011000", 0
00000067, "0011001000101100", 1
0000005C, "1001100100010110", 0
0000005E, "0100110010001011", 1
0000007A, "1010011001000101", 0
0000007A, "0101001100100010", 1
00000086, "1010100110010001", 1
00000096, "1101010011001000", 0
00000096, "0110101001100100", 0
00000096, "0011010100110010", 1
00000041, "1001101010011001", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 1
0000005C, "1001100110101001", 0
0000005E, "0100110011010100", 1
0000007A, "1010011001101010", 0
0000007A, "0101001100110101", 0
0000007A, "0010100110011010", 1
00000086, "1001010011001101", 1
00000096, "1100101001100110", 0
00000096, "0110010100110011", 0
00000096, "0011001010011001", 0
00000096, "0001100101001100", 1
0000005C, "1000110010100110", 0
0000005E, "0100011001010011", 0
00000067, "0010001100101001", 1
0000005C, "1001000110010100", 0
0000005E, "0100100011001010", 0
00000067, "0010010001100101", 0
0000005C, "0001001000110010", 0
0000005E, "0000100100011001", 0
00000067, "0000010010001100", 0
0000005C, "0000001001000110", 0
0000005E, "0000000100100011", 0
00000067, "0000000010010001", 0
0000005C, "0000000001001000", 1
0000007A, "1000000000100100", 1
00000086, "1100000000010010", 0
00000086, "0110000000001001", 0
00000086, "0011000000000100", 1
00000096, "1001100000000010", 0
00000096, "0100110000000001", 0
00000096, "0010011000000000", 0
00000096, "0001001100000000", 0
00000096, "0000100110000000", 0
00000096, "0000010011000000", 0
00000096, "0000001001100000", 1
00000041, "1000000100110000", 0
00000041, "0100000010011000", 0
00000041, "0010000001001100", 0
00000041, "0001000000100110", 1
00000041, "1000100000010011", 1
0000005C, "1100010000001001", 0
0000005E, "0110001000000100", 0
00000067, "0011000100000010", 0
0000005C, "0001100010000001", 1
0000007A, "1000110001000000", 1
00000086, "1100011000100000", 0
00000086, "0110001100010000", 1
00000096, "1011000110001000", 0
00000096, "0101100011000100", 0
00000096, "0010110001100010", 1
00000041, "1001011000110001", 1
0000005C, "1100101100011000", 0
0000005E, "0110010110001100", 0
00000067, "0011001011000110", 0
0000005C, "0001100101100011", 0
0000005E, "0000110010110001", 0
00000067, "0000011001011000", 1
0000005C, "1000001100101100", 0
0000005E, "0100000110010110", 1
0000007A, "1010000011001011", 0
0000007A, "0101000001100101", 1
00000086, "1010100000110010", 1
00000096, "1101010000011001", 0
00000096, "0110101000001100", 0
00000096, "0011010100000110", 0
00000096, "0001101010000011", 1
00000041, "1000110101000001", 0
00000041, "0100011010100000", 1
00000041, "1010001101010000", 1
0000005C, "1101000110101000", 0
0000005E, "0110100011010100", 0
00000067, "0011010001101010", 0
0000005C, "0001101000110101", 1
0000007A, "1000110100011010", 1
00000086, "1100011010001101", 0
00000086, "0110001101000110", 1
00000096, "1011000110100011", 0
00000096, "0101100011010001", 0
00000096, "0010110001101000", 1
0000005C, "1001011000110100", 0
0000005E, "0100101100011010", 0
00000067, "0010010110001101", 0
0000005C, "0001001011000110", 0
0000005E, "0000100101100011", 0
00000067, "0000010010110001", 1
0000005C, "1000001001011000", 0
0000005E, "0100000100101100", 0
00000067, "0010000010010110", 0
0000005C, "0001000001001011", 0
0000005E, "0000100000100101", 0
00000067, "0000010000010010", 0
0000005C, "0000001000001001", 1
0000007A, "1000000100000100", 1
00000086, "1100000010000010", 0
00000086, "0110000001000001", 1
00000096, "1011000000100000", 0
00000096, "0101100000010000", 0
00000096, "0010110000001000", 0
00000096, "0001011000000100", 0
00000096, "0000101100000010", 0
00000096, "0000010110000001", 1
0000005C, "1000001011000000", 0
0000005E, "0100000101100000", 0
00000067, "0010000010110000", 1
0000005C, "1001000001011000", 0
0000005E, "0100100000101100", 0
00000067, "0010010000010110", 1
0000005C, "1001001000001011", 0
0000005E, "0100100100000101", 0
00000067, "0010010010000010", 0
0000005C, "0001001001000001", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 1
0000005C, "1000001001001000", 0
0000005E, "0100000100100100", 0
00000067, "0010000010010010", 1
0000005C, "1001000001001001", 0
0000005E, "0100100000100100", 0
00000067, "0010010000010010", 1
0000005C, "1001001000001001", 0
0000005E, "0100100100000100", 1
0000007A, "1010010010000010", 0
0000007A, "0101001001000001", 0
0000007A, "0010100100100000", 0
0000007A, "0001010010010000", 0
0000007A, "0000101001001000", 0
0000007A, "0000010100100100", 1
00000086, "1000001010010010", 1
00000096, "1100000101001001", 0
00000096, "0110000010100100", 0
00000096, "0011000001010010", 0
00000096, "0001100000101001", 0
00000096, "0000110000010100", 0
00000096, "0000011000001010", 0
00000096, "0000001100000101", 0
00000096, "0000000110000010", 0
00000096, "0000000011000001", 0
00000096, "0000000001100000", 0
00000096, "0000000000110000", 0
00000096, "0000000000011000", 1
0000005C, "1000000000001100", 0
0000005E, "0100000000000110", 0
00000067, "0010000000000011", 1
0000005C, "1001000000000001", 0
0000005E, "0100100000000000", 0
00000067, "0010010000000000", 1
0000005C, "1001001000000000", 0
0000005E, "0100100100000000", 0
00000067, "0010010010000000", 1
0000005C, "1001001001000000", 0
0000005E, "0100100100100000", 0
00000067, "0010010010010000", 0
0000005C, "0001001001001000", 0
0000005E, "0000100100100100", 0
00000067, "0000010010010010", 0
0000005C, "0000001001001001", 0
0000005E, "0000000100100100", 0
00000067, "0000000010010010", 1
0000005C, "1000000001001001", 0
0000005E, "0100000000100100", 0
00000067, "0010000000010010", 0
0000005C, "0001000000001001", 0
0000005E, "0000100000000100", 0
00000067, "0000010000000010", 1
0000005C, "1000001000000001", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 1
0000005C, "1001000001000000", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 0
0000005C, "0001001000001000", 0
0000005E, "0000100100000100", 0
00000067, "0000010010000010", 0
0000005C, "0000001001000001", 0
0000005E, "0000000100100000", 0
00000067, "0000000010010000", 0
0000005C, "0000000001001000", 0
0000005E, "0000000000100100", 0
00000067, "0000000000010010", 0
0000005C, "0000000000001001", 0
0000005E, "0000000000000100", 0
00000067, "0000000000000010", 1
0000005C, "1000000000000001", 0
0000005E, "0100000000000000", 0
00000067, "0010000000000000", 0
0000005C, "0001000000000000", 0
0000005E, "0000100000000000", 0
00000067, "0000010000000000", 0
0000005C, "0000001000000000", 0
0000005E, "0000000100000000", 0
00000067, "0000000010000000", 0
0000005C, "0000000001000000", 0
0000005E, "0000000000100000", 0
00000067, "0000000000010000", 1
0000005C, "1000000000001000", 0
0000005E, "0100000000000100", 0
00000067, "0010000000000010", 1
0000005C, "1001000000000001", 0
0000005E, "0100100000000000", 0
00000067, "0010010000000000", 1
0000005C, "1001001000000000", 0
0000005E, "0100100100000000", 0
00000067, "0010010010000000", 0
0000005C, "0001001001000000", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 1
0000005C, "1000001001001000", 0
0000005E, "0100000100100100", 1
0000007A, "1010000010010010", 0
0000007A, "0101000001001001", 1
00000086, "1010100000100100", 1
00000096, "1101010000010010", 0
00000096, "0110101000001001", 0
00000096, "0011010100000100", 0
00000096, "0001101010000010", 0
00000096, "0000110101000001", 0
00000096, "0000011010100000", 0
00000096, "0000001101010000", 0
00000096, "0000000110101000", 0
00000096, "0000000011010100", 0
00000096, "0000000001101010", 0
00000096, "0000000000110101", 0
00000096, "0000000000011010", 0
00000096, "0000000000001101", 0
00000096, "0000000000000110", 0
00000096, "0000000000000011", 0
00000096, "0000000000000001", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 1
0000005C, "1000000000000000", 0
0000005E, "0100000000000000", 0
00000067, "0010000000000000", 1
0000005C, "1001000000000000", 0
0000005E, "0100100000000000", 0
00000067, "0010010000000000", 0
0000005C, "0001001000000000", 0
0000005E, "0000100100000000", 0
00000067, "0000010010000000", 0
0000005C, "0000001001000000", 0
0000005E, "0000000100100000", 0
00000067, "0000000010010000", 1
0000005C, "1000000001001000", 0
0000005E, "0100000000100100", 0
00000067, "0010000000010010", 1
0000005C, "1001000000001001", 0
0000005E, "0100100000000100", 0
00000067, "0010010000000010", 1
0000005C, "1001001000000001", 0
0000005E, "0100100100000000", 0
00000067, "0010010010000000", 1
0000005C, "1001001001000000", 0
0000005E, "0100100100100000", 0
00000067, "0010010010010000", 0
0000005C, "0001001001001000", 0
0000005E, "0000100100100100", 0
00000067, "0000010010010010", 0
0000005C, "0000001001001001", 0
0000005E, "0000000100100100", 0
00000067, "0000000010010010", 1
0000005C, "1000000001001001", 0
0000005E, "0100000000100100", 0
00000067, "0010000000010010", 1
0000005C, "1001000000001001", 0
0000005E, "0100100000000100", 0
00000067, "0010010000000010", 0
0000005C, "0001001000000001", 0
0000005E, "0000100100000000", 0
00000067, "0000010010000000", 1
0000005C, "1000001001000000", 0
0000005E, "0100000100100000", 0
00000067, "0010000010010000", 1
0000005C, "1001000001001000", 0
0000005E, "0100100000100100", 0
00000067, "0010010000010010", 0
0000005C, "0001001000001001", 0
0000005E, "0000100100000100", 0
00000067, "0000010010000010", 1
0000005C, "1000001001000001", 0
0000005E, "0100000100100000", 0
00000067, "0010000010010000", 0
0000005C, "0001000001001000", 0
0000005E, "0000100000100100", 0
00000067, "0000010000010010", 0
0000005C, "0000001000001001", 0
0000005E, "0000000100000100", 0
00000067, "0000000010000010", 0
0000005C, "0000000001000001", 0
0000005E, "0000000000100000", 0
00000067, "0000000000010000", 0
0000005C, "0000000000001000", 0
0000005E, "0000000000000100", 0
00000067, "0000000000000010", 0
0000005C, "0000000000000001", 0
0000005E, "0000000000000000", 0
00000067, "0000000000000000", 0
0000005C, "0000000000000000", 0
0000005E, "0000000000000000", 0
00000067, "0000000000000000", 0
0000005C, "0000000000000000", 0
0000005E, "0000000000000000", 0
00000067, "0000000000000000", 1
0000005C, "1000000000000000", 0
0000005E, "0100000000000000", 0
00000067, "0010000000000000", 0
0000005C, "0001000000000000", 0
0000005E, "0000100000000000", 0
00000067, "0000010000000000", 0
0000005C, "0000001000000000", 0
0000005E, "0000000100000000", 0
00000067, "0000000010000000", 0
0000005C, "0000000001000000", 0
0000005E, "0000000000100000", 0
00000067, "0000000000010000", 1
0000005C, "1000000000001000", 0
0000005E, "0100000000000100", 0
00000067, "0010000000000010", 1
0000005C, "1001000000000001", 0
0000005E, "0100100000000000", 0
00000067, "0010010000000000", 1
0000005C, "1001001000000000", 0
0000005E, "0100100100000000", 0
00000067, "0010010010000000", 1
0000005C, "1001001001000000", 0
0000005E, "0100100100100000", 0
00000067, "0010010010010000", 1
0000005C, "1001001001001000", 0
0000005E, "0100100100100100", 0
00000067, "0010010010010010", 1
0000005C, "1001001001001001", 0
0000005E, "0100100100100100", 0
00000067, "0010010010010010", 1
0000005C, "1001001001001001", 0
0000005E, "0100100100100100", 0
00000067, "0010010010010010", 1
0000005C, "1001001001001001", 0
0000005E, "0100100100100100", 0
00000067, "0010010010010010", 1
0000005C, "1001001001001001", 0
0000005E, "0100100100100100", 0
00000067, "0010010010010010", 0
0000005C, "0001001001001001", 0
0000005E, "0000100100100100", 0
00000067, "0000010010010010", 1
0000005C, "1000001001001001", 0
0000005E, "0100000100100100", 0
00000067, "0010000010010010", 1
0000005C, "1001000001001001", 0
0000005E, "0100100000100100", 0
00000067, "0010010000010010", 1
0000005C, "1001001000001001", 0
0000005E, "0100100100000100", 1
0000007A, "1010010010000010", 0
0000007A, "0101001001000001", 0
0000007A, "0010100100100000", 0
0000007A, "0001010010010000", 0
0000007A, "0000101001001000", 0
0000007A, "0000010100100100", 0
0000007A, "0000001010010010", 0
0000007A, "0000000101001001", 1
00000086, "1000000010100100", 1
00000096, "1100000001010010", 0
00000096, "0110000000101001", 0
00000096, "0011000000010100", 0
00000096, "0001100000001010", 0
00000096, "0000110000000101", 0
00000096, "0000011000000010", 0
00000096, "0000001100000001", 0
00000096, "0000000110000000", 0
00000096, "0000000011000000", 0
00000096, "0000000001100000", 0
00000096, "0000000000110000", 0
00000096, "0000000000011000", 0
00000096, "0000000000001100", 0
00000096, "0000000000000110", 0
00000096, "0000000000000011", 0
00000096, "0000000000000001", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 1
0000005C, "1000000000000000", 0
0000005E, "0100000000000000", 0
00000067, "0010000000000000", 1
0000005C, "1001000000000000", 0
0000005E, "0100100000000000", 0
00000067, "0010010000000000", 1
0000005C, "1001001000000000", 0
0000005E, "0100100100000000", 0
00000067, "0010010010000000", 0
0000005C, "0001001001000000", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 0
0000005C, "0000001001001000", 0
0000005E, "0000000100100100", 0
00000067, "0000000010010010", 1
0000005C, "1000000001001001", 0
0000005E, "0100000000100100", 0
00000067, "0010000000010010", 1
0000005C, "1001000000001001", 0
0000005E, "0100100000000100", 0
00000067, "0010010000000010", 1
0000005C, "1001001000000001", 0
0000005E, "0100100100000000", 0
00000067, "0010010010000000", 0
0000005C, "0001001001000000", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 1
0000005C, "1000001001001000", 0
0000005E, "0100000100100100", 0
00000067, "0010000010010010", 1
0000005C, "1001000001001001", 0
0000005E, "0100100000100100", 0
00000067, "0010010000010010", 0
0000005C, "0001001000001001", 0
0000005E, "0000100100000100", 0
00000067, "0000010010000010", 0
0000005C, "0000001001000001", 0
0000005E, "0000000100100000", 0
00000067, "0000000010010000", 0
0000005C, "0000000001001000", 0
0000005E, "0000000000100100", 0
00000067, "0000000000010010", 1
0000005C, "1000000000001001", 0
0000005E, "0100000000000100", 0
00000067, "0010000000000010", 0
0000005C, "0001000000000001", 0
0000005E, "0000100000000000", 0
00000067, "0000010000000000", 1
0000005C, "1000001000000000", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 0
0000005C, "0001000001000000", 0
0000005E, "0000100000100000", 0
00000067, "0000010000010000", 1
0000005C, "1000001000001000", 0
0000005E, "0100000100000100", 0
00000067, "0010000010000010", 1
0000005C, "1001000001000001", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 1
0000005C, "1001001000001000", 0
0000005E, "0100100100000100", 0
00000067, "0010010010000010", 0
0000005C, "0001001001000001", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 1
0000005C, "1000001001001000", 0
0000005E, "0100000100100100", 0
00000067, "0010000010010010", 0
0000005C, "0001000001001001", 0
0000005E, "0000100000100100", 0
00000067, "0000010000010010", 0
0000005C, "0000001000001001", 0
0000005E, "0000000100000100", 0
00000067, "0000000010000010", 0
0000005C, "0000000001000001", 0
0000005E, "0000000000100000", 0
00000067, "0000000000010000", 1
0000005C, "1000000000001000", 0
0000005E, "0100000000000100", 0
00000067, "0010000000000010", 0
0000005C, "0001000000000001", 0
0000005E, "0000100000000000", 0
00000067, "0000010000000000", 0
0000005C, "0000001000000000", 0
0000005E, "0000000100000000", 0
00000067, "0000000010000000", 1
0000005C, "1000000001000000", 0
0000005E, "0100000000100000", 0
00000067, "0010000000010000", 0
0000005C, "0001000000001000", 0
0000005E, "0000100000000100", 0
00000067, "0000010000000010", 1
0000005C, "1000001000000001", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 1
0000005C, "1001000001000000", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 0
0000005C, "0001001000001000", 0
0000005E, "0000100100000100", 0
00000067, "0000010010000010", 0
0000005C, "0000001001000001", 0
0000005E, "0000000100100000", 0
00000067, "0000000010010000", 0
0000005C, "0000000001001000", 0
0000005E, "0000000000100100", 0
00000067, "0000000000010010", 1
0000005C, "1000000000001001", 0
0000005E, "0100000000000100", 0
00000067, "0010000000000010", 0
0000005C, "0001000000000001", 0
0000005E, "0000100000000000", 0
00000067, "0000010000000000", 1
0000005C, "1000001000000000", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 1
0000005C, "1001000001000000", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 1
0000005C, "1001001000001000", 0
0000005E, "0100100100000100", 0
00000067, "0010010010000010", 0
0000005C, "0001001001000001", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 1
0000005C, "1000001001001000", 0
0000005E, "0100000100100100", 0
00000067, "0010000010010010", 0
0000005C, "0001000001001001", 0
0000005E, "0000100000100100", 0
00000067, "0000010000010010", 0
0000005C, "0000001000001001", 0
0000005E, "0000000100000100", 0
00000067, "0000000010000010", 0
0000005C, "0000000001000001", 0
0000005E, "0000000000100000", 0
00000067, "0000000000010000", 0
0000005C, "0000000000001000", 0
0000005E, "0000000000000100", 0
00000067, "0000000000000010", 0
0000005C, "0000000000000001", 0
0000005E, "0000000000000000", 0
00000067, "0000000000000000", 0
0000005C, "0000000000000000", 0
0000005E, "0000000000000000", 0
00000067, "0000000000000000", 1
0000005C, "1000000000000000", 0
0000005E, "0100000000000000", 0
00000067, "0010000000000000", 1
0000005C, "1001000000000000", 0
0000005E, "0100100000000000", 0
00000067, "0010010000000000", 0
0000005C, "0001001000000000", 0
0000005E, "0000100100000000", 0
00000067, "0000010010000000", 1
0000005C, "1000001001000000", 0
0000005E, "0100000100100000", 0
00000067, "0010000010010000", 0
0000005C, "0001000001001000", 0
0000005E, "0000100000100100", 0
00000067, "0000010000010010", 1
0000005C, "1000001000001001", 0
0000005E, "0100000100000100", 0
00000067, "0010000010000010", 0
0000005C, "0001000001000001", 0
0000005E, "0000100000100000", 0
00000067, "0000010000010000", 1
0000005C, "1000001000001000", 0
0000005E, "0100000100000100", 0
00000067, "0010000010000010", 1
0000005C, "1001000001000001", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 0
0000005C, "0001001000001000", 0
0000005E, "0000100100000100", 0
00000067, "0000010010000010", 0
0000005C, "0000001001000001", 0
0000005E, "0000000100100000", 0
00000067, "0000000010010000", 1
0000005C, "1000000001001000", 0
0000005E, "0100000000100100", 0
00000067, "0010000000010010", 0
0000005C, "0001000000001001", 0
0000005E, "0000100000000100", 0
00000067, "0000010000000010", 1
0000005C, "1000001000000001", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 0
0000005C, "0001000001000000", 0
0000005E, "0000100000100000", 0
00000067, "0000010000010000", 1
0000005C, "1000001000001000", 0
0000005E, "0100000100000100", 0
00000067, "0010000010000010", 1
0000005C, "1001000001000001", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 1
0000005C, "1001001000001000", 0
0000005E, "0100100100000100", 0
00000067, "0010010010000010", 0
0000005C, "0001001001000001", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 1
0000005C, "1000001001001000", 0
0000005E, "0100000100100100", 0
00000067, "0010000010010010", 1
0000005C, "1001000001001001", 0
0000005E, "0100100000100100", 0
00000067, "0010010000010010", 1
0000005C, "1001001000001001", 0
0000005E, "0100100100000100", 0
00000067, "0010010010000010", 0
0000005C, "0001001001000001", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 0
0000005C, "0000001001001000", 0
0000005E, "0000000100100100", 0
00000067, "0000000010010010", 0
0000005C, "0000000001001001", 0
0000005E, "0000000000100100", 0
00000067, "0000000000010010", 1
0000005C, "1000000000001001", 0
0000005E, "0100000000000100", 0
00000067, "0010000000000010", 1
0000005C, "1001000000000001", 0
0000005E, "0100100000000000", 0
00000067, "0010010000000000", 0
0000005C, "0001001000000000", 0
0000005E, "0000100100000000", 0
00000067, "0000010010000000", 0
0000005C, "0000001001000000", 0
0000005E, "0000000100100000", 0
00000067, "0000000010010000", 1
0000005C, "1000000001001000", 0
0000005E, "0100000000100100", 0
00000067, "0010000000010010", 0
0000005C, "0001000000001001", 0
0000005E, "0000100000000100", 0
00000067, "0000010000000010", 1
0000005C, "1000001000000001", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 1
0000005C, "1001000001000000", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 1
0000005C, "1001001000001000", 0
0000005E, "0100100100000100", 0
00000067, "0010010010000010", 1
0000005C, "1001001001000001", 0
0000005E, "0100100100100000", 0
00000067, "0010010010010000", 1
0000005C, "1001001001001000", 0
0000005E, "0100100100100100", 0
00000067, "0010010010010010", 0
0000005C, "0001001001001001", 0
0000005E, "0000100100100100", 0
00000067, "0000010010010010", 1
0000005C, "1000001001001001", 0
0000005E, "0100000100100100", 0
00000067, "0010000010010010", 0
0000005C, "0001000001001001", 0
0000005E, "0000100000100100", 0
00000067, "0000010000010010", 0
0000005C, "0000001000001001", 0
0000005E, "0000000100000100", 0
00000067, "0000000010000010", 1
0000005C, "1000000001000001", 0
0000005E, "0100000000100000", 0
00000067, "0010000000010000", 0
0000005C, "0001000000001000", 0
0000005E, "0000100000000100", 0
00000067, "0000010000000010", 0
0000005C, "0000001000000001", 0
0000005E, "0000000100000000", 0
00000067, "0000000010000000", 0
0000005C, "0000000001000000", 0
0000005E, "0000000000100000", 0
00000067, "0000000000010000", 1
0000005C, "1000000000001000", 0
0000005E, "0100000000000100", 1
0000007A, "1010000000000010", 0
0000007A, "0101000000000001", 1
00000086, "1010100000000000", 1
00000096, "1101010000000000", 0
00000096, "0110101000000000", 0
00000096, "0011010100000000", 0
00000096, "0001101010000000", 0
00000096, "0000110101000000", 0
00000096, "0000011010100000", 0
00000096, "0000001101010000", 0
00000096, "0000000110101000", 0
00000096, "0000000011010100", 0
00000096, "0000000001101010", 0
00000096, "0000000000110101", 0
00000096, "0000000000011010", 0
00000096, "0000000000001101", 0
00000096, "0000000000000110", 0
00000096, "0000000000000011", 0
00000096, "0000000000000001", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 1
00000041, "1000000000000000", 0
00000041, "0100000000000000", 0
00000041, "0010000000000000", 0
00000041, "0001000000000000", 0
00000041, "0000100000000000", 0
00000041, "0000010000000000", 0
00000041, "0000001000000000", 0
00000041, "0000000100000000", 1
00000041, "1000000010000000", 1
0000005C, "1100000001000000", 0
0000005E, "0110000000100000", 0
00000067, "0011000000010000", 0
0000005C, "0001100000001000", 1
0000007A, "1000110000000100", 1
00000086, "1100011000000010", 0
00000086, "0110001100000001", 1
00000096, "1011000110000000", 0
00000096, "0101100011000000", 0
00000096, "0010110001100000", 1
00000041, "1001011000110000", 1
0000005C, "1100101100011000", 0
0000005E, "0110010110001100", 0
00000067, "0011001011000110", 1
0000005C, "1001100101100011", 0
0000005E, "0100110010110001", 1
0000007A, "1010011001011000", 0
0000007A, "0101001100101100", 0
0000007A, "0010100110010110", 1
00000086, "1001010011001011", 1
00000096, "1100101001100101", 0
00000096, "0110010100110010", 0
00000096, "0011001010011001", 0
00000096, "0001100101001100", 1
00000041, "1000110010100110", 0
00000041, "0100011001010011", 0
00000041, "0010001100101001", 1
00000041, "1001000110010100", 1
0000005C, "1100100011001010", 0
0000005E, "0110010001100101", 0
00000067, "0011001000110010", 0
